date,tmax,precipitation,sunshine_s,daylight_s
1997-12-01,11.5,0.0,1750.72,33721.1
1997-12-02,13.3,2.2,30324.84,33643.68
1997-12-03,11.9,6.5,24704.37,33569.3
1997-12-04,11.1,0.0,30411.04,33498.06
1997-12-05,13.1,0.0,21286.71,33430.04
1997-12-06,12.5,0.0,29757.76,33365.36
1997-12-07,10.4,0.0,30893.71,33304.11
1997-12-08,10.9,0.0,30193.78,33246.39
1997-12-09,12.2,0.0,23749.63,33192.31
1997-12-10,13.9,0.0,29887.7,33141.96
1997-12-11,13.1,1.3,14400.0,33095.44
1997-12-12,14.4,3.0,0.0,33052.85
1997-12-13,14.2,0.0,30004.05,33014.27
1997-12-14,12.0,0.0,30000.83,32979.82
1997-12-15,10.6,0.0,21469.02,32949.58
1997-12-16,11.2,0.0,28828.06,32923.64
1997-12-17,14.7,0.0,29238.88,32902.1
1997-12-18,15.3,0.0,28800.0,32885.02
1997-12-19,15.4,1.7,23853.79,32872.52
1997-12-20,15.0,30.2,24167.9,32864.65
1997-12-21,12.5,11.5,17878.59,32861.29
1997-12-22,13.2,2.6,24374.95,32862.36
1997-12-23,14.0,0.0,25495.66,32867.83
1997-12-24,13.8,0.7,30640.9,32877.63
1997-12-25,13.0,0.0,29212.85,32891.72
1997-12-26,13.5,0.9,4009.18,32910.04
1997-12-27,12.1,12.1,12859.53,32932.55
1997-12-28,11.2,0.0,31255.87,32959.17
1997-12-29,11.8,0.0,31302.14,32989.85
1997-12-30,12.5,0.0,29388.54,33024.54
1997-12-31,14.5,0.0,31224.94,33063.16
1998-01-01,15.3,0.0,31451.56,33105.65
1998-01-02,12.8,5.3,16981.58,33151.95
1998-01-03,14.0,5.9,31507.86,33201.99
1998-01-04,13.6,0.0,0.0,33255.69
1998-01-05,14.1,0.2,19074.66,33313.01
1998-01-06,14.7,0.0,31728.58,33373.85
1998-01-07,14.1,0.0,31004.84,33438.15
1998-01-08,13.6,0.0,30600.74,33505.85
1998-01-09,13.3,0.0,31906.39,33576.95
1998-01-10,12.4,0.0,31968.42,33652.3
1998-01-11,12.7,0.0,32032.29,33731.9
1998-01-12,12.0,0.0,32097.86,33815.6
1998-01-13,12.7,0.0,25152.01,33903.19
1998-01-14,13.0,9.8,18.94,33994.52
1998-01-15,13.7,3.8,30041.89,34089.4
1998-01-16,13.3,0.0,32374.64,34187.66
1998-01-17,11.4,11.8,25206.54,34289.13
1998-01-18,13.1,0.0,32465.58,34393.64
1998-01-19,12.4,20.2,0.0,34501.02
1998-01-20,11.8,1.7,32425.86,34611.09
1998-01-21,9.0,0.0,20843.84,34723.7
1998-01-22,11.0,0.0,32400.0,34838.7
1998-01-23,10.7,0.0,32400.0,34955.9
1998-01-24,10.6,0.0,32682.19,35075.16
1998-01-25,12.1,0.3,32400.0,35196.32
1998-01-26,11.1,0.0,32629.17,35319.23
1998-01-27,8.4,1.1,19850.3,35443.76
1998-01-28,9.8,0.0,30813.02,35569.73
1998-01-29,10.6,0.0,32886.17,35697.18
1998-01-30,11.2,0.0,31900.72,35827.42
1998-01-31,12.5,12.1,30132.6,35960.58
1998-02-01,11.1,17.0,12817.48,36096.45
1998-02-02,11.5,0.0,33092.51,36234.87
1998-02-03,10.2,3.0,0.0,36375.64
1998-02-04,11.4,20.0,5713.25,36518.58
1998-02-05,12.6,0.0,33315.95,36663.5
1998-02-06,12.6,0.0,33825.66,36810.23
1998-02-07,12.7,0.0,34746.59,36958.61
1998-02-08,13.4,0.0,34657.43,37108.46
1998-02-09,11.9,0.0,35647.38,37259.62
1998-02-10,12.3,0.0,35679.78,37411.92
1998-02-11,14.8,0.0,35713.55,37565.21
1998-02-12,15.9,0.0,36077.03,37719.33
1998-02-13,17.1,0.0,36189.85,37874.14
1998-02-14,17.3,0.0,36802.97,38029.47
1998-02-15,15.5,0.0,37165.4,38185.18
1998-02-16,16.1,0.0,37202.03,38341.14
1998-02-17,14.7,0.0,26122.2,38497.2
1998-02-18,16.8,0.0,38107.9,38653.38
1998-02-19,15.3,0.0,38266.56,38811.06
1998-02-20,16.0,0.0,38426.88,38970.42
1998-02-21,16.0,0.0,38588.71,39131.3
1998-02-22,14.3,0.0,34386.55,39293.56
1998-02-23,10.8,21.1,1544.67,39457.06
1998-02-24,12.5,10.5,20943.0,39621.67
1998-02-25,15.9,0.0,38323.97,39787.22
1998-02-26,17.1,0.0,39090.1,39953.61
1998-02-27,15.5,0.0,39163.26,40120.68
1998-02-28,14.4,0.0,38405.88,40288.31
1998-03-01,14.7,0.1,37483.35,40456.36
1998-03-02,15.2,0.0,39380.99,40624.72
1998-03-03,14.8,0.0,39452.93,40793.24
1998-03-04,13.5,0.0,18503.44,40961.81
1998-03-05,14.6,0.0,38516.48,41130.31
1998-03-06,15.9,0.0,39600.0,41298.61
1998-03-07,15.0,0.0,39600.0,41466.59
1998-03-08,16.4,0.1,25165.23,41634.12
1998-03-09,17.0,3.7,37051.58,41801.09
1998-03-10,9.5,0.0,39600.0,41967.54
1998-03-11,10.4,0.0,38184.86,42134.71
1998-03-12,8.9,6.7,0.0,42302.8
1998-03-13,13.5,4.3,36000.0,42471.69
1998-03-14,14.2,0.0,40513.88,42641.28
1998-03-15,16.6,0.0,40461.91,42811.46
1998-03-16,15.3,0.0,41027.81,42982.11
1998-03-17,16.9,0.0,40975.2,43153.13
1998-03-18,17.8,0.0,41540.21,43324.41
1998-03-19,16.3,0.0,41796.14,43495.84
1998-03-20,14.7,0.0,42052.02,43667.33
1998-03-21,15.0,1.0,42207.88,43838.74
1998-03-22,10.8,0.0,42311.97,44009.98
1998-03-23,9.8,7.0,22001.63,44180.95
1998-03-24,8.9,35.4,12512.38,44351.53
1998-03-25,10.5,0.4,42622.92,44521.61
1998-03-26,12.3,0.0,42933.83,44691.08
1998-03-27,14.7,0.0,43003.26,44859.84
1998-03-28,14.8,0.0,43072.08,45027.76
1998-03-29,16.2,0.0,40775.32,45194.74
1998-03-30,17.4,0.0,43516.2,45360.81
1998-03-31,18.1,0.0,43200.0,45527.12
1998-04-01,16.6,0.0,43521.93,45693.87
1998-04-02,15.2,3.7,27342.95,45860.94
1998-04-03,17.7,0.0,43458.01,46028.24
1998-04-04,19.0,0.0,44045.76,46195.67
1998-04-05,19.7,0.0,39818.19,46363.12
1998-04-06,16.2,4.0,43673.21,46530.49
1998-04-07,17.7,0.0,43642.01,46697.67
1998-04-08,17.5,4.5,6089.15,46864.56
1998-04-09,15.8,1.4,37913.92,47031.03
1998-04-10,17.0,7.9,40869.1,47197.0
1998-04-11,16.4,12.4,42797.69,47362.33
1998-04-12,13.1,6.4,33190.02,47526.93
1998-04-13,12.5,11.2,37270.18,47690.66
1998-04-14,12.9,2.4,44994.22,47853.41
1998-04-15,16.7,0.0,45908.26,48015.07
1998-04-16,15.9,15.7,39654.95,48175.5
1998-04-17,16.1,14.0,32135.85,48334.58
1998-04-18,13.0,7.9,38966.12,48492.19
1998-04-19,15.4,0.2,45494.99,48648.33
1998-04-20,17.3,0.0,46553.89,48804.12
1998-04-21,17.5,0.0,46894.53,48959.75
1998-04-22,19.3,0.0,47236.67,49115.09
1998-04-23,20.2,0.1,35734.47,49270.03
1998-04-24,20.1,0.0,47606.5,49424.47
1998-04-25,21.4,0.0,47952.96,49578.27
1998-04-26,22.1,0.0,48301.07,49731.33
1998-04-27,20.0,2.7,35714.23,49883.51
1998-04-28,15.7,12.4,11837.31,50034.69
1998-04-29,16.0,0.8,46323.57,50184.74
1998-04-30,15.1,13.4,19911.98,50333.53
1998-05-01,16.9,13.2,27468.33,50480.93
1998-05-02,17.5,4.2,21908.75,50626.8
1998-05-03,23.3,4.8,38228.11,50771.0
1998-05-04,17.2,13.4,26324.02,50913.38
1998-05-05,19.8,3.1,35016.95,51053.8
1998-05-06,17.9,3.4,48094.38,51192.11
1998-05-07,19.9,0.0,47520.69,51328.17
1998-05-08,21.5,0.0,50243.31,51461.8
1998-05-09,24.3,0.0,50311.44,51592.99
1998-05-10,26.6,0.0,50378.08,51722.76
1998-05-11,26.5,0.0,50400.0,51851.26
1998-05-12,25.7,0.0,50400.0,51978.37
1998-05-13,25.9,0.0,50400.0,52103.98
1998-05-14,24.4,0.0,50400.0,52227.96
1998-05-15,24.1,0.4,27854.95,52350.19
1998-05-16,23.2,0.0,49197.13,52470.53
1998-05-17,20.3,7.1,39695.41,52588.87
1998-05-18,20.1,0.0,50400.0,52705.07
1998-05-19,21.3,0.0,50400.0,52818.99
1998-05-20,24.5,0.0,50400.0,52930.51
1998-05-21,23.7,0.0,50400.0,53039.48
1998-05-22,22.3,0.0,50400.0,53145.75
1998-05-23,21.2,1.1,49923.22,53249.21
1998-05-24,21.8,0.4,47499.08,53349.69
1998-05-25,17.7,4.7,247.02,53447.05
1998-05-26,21.3,0.2,50400.0,53541.14
1998-05-27,21.7,0.0,50400.0,53631.83
1998-05-28,24.2,0.3,41634.56,53718.96
1998-05-29,20.8,6.6,30619.18,53802.48
1998-05-30,21.8,0.0,41324.8,53883.06
1998-05-31,23.2,0.0,50111.64,53960.84
1998-06-01,24.3,0.0,48078.43,54035.71
1998-06-02,26.5,0.0,50400.0,54107.62
1998-06-03,29.4,0.0,50400.0,54176.46
