date,opponent,goals_for,goals_against,tournament,home
1997-01-22,Northern Ireland,2,0,Friendly,True
1997-02-12,England,1,0,FIFA World Cup qualification,False
1997-03-29,Moldova,3,0,FIFA World Cup qualification,True
1997-04-02,Poland,0,0,FIFA World Cup qualification,False
1997-04-30,Poland,3,0,FIFA World Cup qualification,True
1997-06-04,England,0,2,Tournoi de France,False
1997-06-08,Brazil,3,3,Tournoi de France,False
1997-06-11,France,2,2,Tournoi de France,False
1997-09-10,Georgia,0,0,FIFA World Cup qualification,False
1997-10-11,England,0,0,FIFA World Cup qualification,True
1997-10-29,Russia,1,1,FIFA World Cup qualification,False
1997-11-15,Russia,1,0,FIFA World Cup qualification,True
1998-01-28,Slovakia,3,0,Friendly,True
1998-04-22,Paraguay,3,1,Friendly,True
1998-06-02,Sweden,0,1,Friendly,False
1998-06-11,Chile,2,2,FIFA World Cup,False
1998-06-17,Cameroon,3,0,FIFA World Cup,False
1998-06-23,Austria,2,1,FIFA World Cup,False
1998-06-27,Norway,1,0,FIFA World Cup,False
1998-07-03,France,0,0,FIFA World Cup,False
1998-09-05,Wales,2,0,UEFA Euro qualification,False
1998-10-10,Switzerland,2,0,UEFA Euro qualification,True
1998-11-18,Spain,2,2,Friendly,True
1999-02-10,Norway,0,0,Friendly,True
1999-03-27,Denmark,2,1,UEFA Euro qualification,False
1999-03-31,Belarus,1,1,UEFA Euro qualification,True
1999-04-28,Croatia,0,0,Friendly,False
1999-06-05,Wales,4,0,UEFA Euro qualification,True
1999-06-09,Switzerland,0,0,UEFA Euro qualification,False
1999-09-08,Denmark,2,3,UEFA Euro qualification,True
1999-10-09,Belarus,0,0,UEFA Euro qualification,False
1999-11-13,Belgium,1,3,Friendly,True
2000-02-23,Sweden,1,0,Friendly,True
2000-03-29,Spain,0,2,Friendly,False
2000-04-26,Portugal,2,0,Friendly,True
2000-06-03,Norway,0,1,Friendly,False
2000-06-11,Turkey,2,1,UEFA Euro,False
2000-06-14,Belgium,2,0,UEFA Euro,False
2000-06-19,Sweden,2,1,UEFA Euro,False
2000-06-24,Romania,2,0,UEFA Euro,False
2000-06-29,Netherlands,0,0,UEFA Euro,False
2000-07-02,France,1,2,UEFA Euro,False
2000-09-03,Hungary,2,2,FIFA World Cup qualification,False
2000-10-07,Romania,3,0,FIFA World Cup qualification,True
2000-10-11,Georgia,2,0,FIFA World Cup qualification,True
2000-11-15,England,1,0,Friendly,True
2001-02-28,Argentina,1,2,Friendly,True
2001-03-24,Romania,2,0,FIFA World Cup qualification,False
2001-03-28,Lithuania,4,0,FIFA World Cup qualification,True
2001-04-25,South Africa,1,0,Friendly,True
2001-06-02,Georgia,2,1,FIFA World Cup qualification,False
2001-09-01,Lithuania,0,0,FIFA World Cup qualification,False
2001-09-05,Morocco,1,0,Friendly,True
2001-10-06,Hungary,1,0,FIFA World Cup qualification,True
2001-11-07,Japan,1,1,Friendly,False
2002-02-13,United States,1,0,Friendly,True
2002-03-27,England,2,1,Friendly,False
2002-04-17,Uruguay,1,1,Friendly,True
2002-05-18,Czech Republic,0,1,Friendly,False
2002-06-03,Ecuador,2,0,FIFA World Cup,False
2002-06-08,Croatia,1,2,FIFA World Cup,False
2002-06-13,Mexico,1,1,FIFA World Cup,False
2002-06-18,South Korea,1,2,FIFA World Cup,False
2002-08-21,Slovenia,0,1,Friendly,True
2002-09-07,Azerbaijan,2,0,UEFA Euro qualification,False
2002-10-12,Serbia,1,1,UEFA Euro qualification,True
2002-10-16,Wales,1,2,UEFA Euro qualification,False
2002-11-20,Turkey,1,1,Friendly,True
2003-02-12,Portugal,1,0,Friendly,True
2003-03-29,Finland,2,0,UEFA Euro qualification,True
2003-04-30,Switzerland,2,1,Friendly,False
2003-06-03,Northern Ireland,2,0,Friendly,True
2003-06-11,Finland,2,0,UEFA Euro qualification,False
2003-08-20,Germany,1,0,Friendly,False
2003-09-06,Wales,4,0,UEFA Euro qualification,True
2003-09-10,Serbia,1,1,UEFA Euro qualification,False
2003-10-11,Azerbaijan,4,0,UEFA Euro qualification,True
2003-11-12,Poland,1,3,Friendly,False
2003-11-16,Romania,1,0,Friendly,True
2004-02-18,Czech Republic,2,2,Friendly,True
2004-03-31,Portugal,2,1,Friendly,False
2004-04-28,Spain,1,1,Friendly,True
2004-05-30,Tunisia,4,0,Friendly,False
2004-06-14,Denmark,0,0,UEFA Euro,False
2004-06-18,Sweden,1,1,UEFA Euro,False
2004-06-22,Bulgaria,2,1,UEFA Euro,False
2004-08-18,Iceland,0,2,Friendly,False
2004-09-04,Norway,2,1,FIFA World Cup qualification,True
2004-09-08,Moldova,1,0,FIFA World Cup qualification,False
2004-10-09,Slovenia,0,1,FIFA World Cup qualification,False
2004-10-13,Belarus,4,3,FIFA World Cup qualification,True
2004-11-17,Finland,1,0,Friendly,True
2005-02-09,Russia,2,0,Friendly,True
2005-03-26,Scotland,2,0,FIFA World Cup qualification,True
2005-03-30,Iceland,0,0,Friendly,True
2005-06-04,Norway,0,0,FIFA World Cup qualification,False
2005-06-08,Serbia,1,1,Friendly,False
2005-06-11,Ecuador,1,1,Friendly,False
2005-08-17,Republic of Ireland,2,1,Friendly,False
2005-09-03,Scotland,1,1,FIFA World Cup qualification,False
2005-09-07,Belarus,4,1,FIFA World Cup qualification,False
2005-10-08,Slovenia,1,0,FIFA World Cup qualification,True
2005-10-12,Moldova,2,1,FIFA World Cup qualification,True
2005-11-12,Netherlands,3,1,Friendly,False
2005-11-16,Ivory Coast,1,1,Friendly,False
2006-03-01,Germany,4,1,Friendly,True
2006-05-31,Switzerland,1,1,Friendly,False
2006-06-02,Ukraine,0,0,Friendly,False
2006-06-12,Ghana,2,0,FIFA World Cup,False
2006-06-17,United States,1,1,FIFA World Cup,False
2006-06-22,Czech Republic,2,0,FIFA World Cup,False
2006-06-26,Australia,1,0,FIFA World Cup,False
2006-06-30,Ukraine,3,0,FIFA World Cup,False
2006-07-04,Germany,2,0,FIFA World Cup,False
2006-07-09,France,1,1,FIFA World Cup,False
2006-08-16,Croatia,0,2,Friendly,True
2006-09-02,Lithuania,1,1,UEFA Euro qualification,True
2006-09-06,France,1,3,UEFA Euro qualification,False
2006-10-07,Ukraine,2,0,UEFA Euro qualification,True
2006-10-11,Georgia,3,1,UEFA Euro qualification,False
2006-11-15,Turkey,1,1,Friendly,True
2007-03-28,Scotland,2,0,UEFA Euro qualification,True
2007-06-02,Faroe Islands,2,1,UEFA Euro qualification,False
2007-06-06,Lithuania,2,0,UEFA Euro qualification,False
2007-08-22,Hungary,1,3,Friendly,False
2007-09-08,France,0,0,UEFA Euro qualification,True
2007-09-12,Ukraine,2,1,UEFA Euro qualification,False
2007-10-13,Georgia,2,0,UEFA Euro qualification,True
2007-10-17,South Africa,2,0,Friendly,True
2007-11-17,Scotland,2,1,UEFA Euro qualification,False
2007-11-21,Faroe Islands,3,1,UEFA Euro qualification,True
2008-02-06,Portugal,3,1,Friendly,False
2008-03-26,Spain,0,1,Friendly,False
2008-05-30,Belgium,3,1,Friendly,True
