draw_id,pool_contest_eur,jackpot_carryover_eur,pool_total_eur
2009-001,3857528.32,23525683.57,27383211.89
2009-002,4225786.85,24297189.23,28522976.08
2009-003,3869068.7,25564925.28,29433993.98
2009-004,3287987.45,26725645.88,30013633.33
2009-005,4787440.45,27712042.11,32499482.56
2009-006,3851015.01,29148274.24,32999289.25
2009-007,3855069.71,29918477.25,33773546.96
2009-008,4892212.89,31074998.16,35967211.05
2009-009,3997073.83,32542662.03,36539735.86
2009-010,3919373.79,33741784.19,37661157.98
2009-011,4868021.65,34917596.32,39785617.97
2009-012,3941985.25,36378002.81,40319988.06
2009-013,3921336.25,37560598.38,41481934.63
2009-014,4994595.82,38736999.25,43731595.07
2009-015,3789488.83,10114996.48,13904485.31
2009-016,3799820.69,11251843.14,15051663.83
2009-017,4766116.52,12391789.35,17157905.87
2009-018,3766543.72,13821624.3,17588168.02
2009-019,3692657.37,14951587.41,18644244.78
2009-020,4701230.85,16059384.62,20760615.47
2009-021,3680878.62,17469753.87,21150632.49
2009-022,3601416.37,18205929.6,21807345.97
2009-023,4592663.95,19286354.51,23879018.46
2009-024,3622339.95,20664153.7,24286493.65
2009-025,3564119.18,21388621.69,24952740.87
2009-026,4566412.38,22101445.52,26667857.9
2009-027,3665006.36,23471369.23,27136375.59
2009-028,3584554.41,24570871.15,28155425.56
2009-029,4583024.7,25646237.48,30229262.18
2009-030,3582428.92,27021144.88,30603573.8
2009-031,3494176.65,28095873.55,31590050.2
2009-032,4516446.31,29144126.54,33660572.85
2009-033,3557779.64,30499060.43,34056840.07
2009-034,3528204.62,31566394.32,35094598.94
2009-035,4468988.61,32624855.71,37093844.32
2009-036,3565504.76,33518653.44,37084158.2
2009-037,3592741.04,34588304.88,38181045.92
2009-038,4624267.94,35306853.08,39931121.02
2009-039,3638430.14,36694133.47,40332563.61
2009-040,3629438.63,37421819.5,41051258.13
2009-041,4559977.71,38510651.1,43070628.81
2009-042,3556841.02,39878644.41,43435485.43
2009-043,3561246.87,40945696.72,44506943.59
2009-044,4508194.55,42014070.79,46522265.34
2009-045,3242828.8,43366529.16,46609357.96
2009-046,3541657.75,44339377.8,47881035.55
2009-047,4519190.1,45401875.13,49921065.23
