draw_id,game,category,winners,amount_eur
2009-001,superenalotto,Punti 6,0,
2009-001,superenalotto,Punti 5+1,1,771505.66
2009-001,superenalotto,Punti 5,19,30454.18
2009-001,superenalotto,Punti 4,1568,369.02
2009-001,superenalotto,Punti 3,64777,17.86
2009-001,superstar,5 Stella,3,761354.5
2009-001,superstar,4 Stella,16,36902.0
2009-001,superstar,3 Stella,301,1786.0
2009-001,superstar,2 Stella,4314,100.0
2009-001,superstar,1 Stella,27819,10.0
2009-001,superstar,0 Stella,61313,5.0
2009-001,immediate,Vincite Immediate,0,0.0
2009-002,superenalotto,Punti 6,0,
2009-002,superenalotto,Punti 5+1,0,
2009-002,superenalotto,Punti 5,16,39616.76
2009-002,superenalotto,Punti 4,1631,388.63
2009-002,superenalotto,Punti 3,68880,18.4
2009-002,superstar,5 Stella,0,
2009-002,superstar,4 Stella,11,38863.0
2009-002,superstar,3 Stella,278,1840.0
2009-002,superstar,2 Stella,4442,100.0
2009-002,superstar,1 Stella,28884,10.0
2009-002,superstar,0 Stella,62000,5.0
2009-002,immediate,Vincite Immediate,0,0.0
2009-003,superenalotto,Punti 6,0,
2009-003,superenalotto,Punti 5+1,0,
2009-003,superenalotto,Punti 5,14,41454.31
2009-003,superenalotto,Punti 4,1454,399.14
2009-003,superenalotto,Punti 3,58542,19.82
2009-003,superstar,5 Stella,0,
2009-003,superstar,4 Stella,9,39914.0
2009-003,superstar,3 Stella,235,1982.0
2009-003,superstar,2 Stella,3853,100.0
2009-003,superstar,1 Stella,26355,10.0
2009-003,superstar,0 Stella,60603,5.0
2009-003,immediate,Vincite Immediate,0,0.0
2009-004,superenalotto,Punti 6,0,
2009-004,superenalotto,Punti 5+1,0,
2009-004,superenalotto,Punti 5,14,35228.44
2009-004,superenalotto,Punti 4,1483,332.56
2009-004,superenalotto,Punti 3,54808,17.99
2009-004,superstar,5 Stella,0,
2009-004,superstar,4 Stella,5,33256.0
2009-004,superstar,3 Stella,234,1799.0
2009-004,superstar,2 Stella,3464,100.0
2009-004,superstar,1 Stella,21842,10.0
2009-004,superstar,0 Stella,49119,5.0
2009-004,immediate,Vincite Immediate,0,0.0
2009-005,superenalotto,Punti 6,0,
2009-005,superenalotto,Punti 5+1,0,
2009-005,superenalotto,Punti 5,10,71811.61
2009-005,superenalotto,Punti 4,1721,417.26
2009-005,superenalotto,Punti 3,69562,20.64
2009-005,superstar,5 Stella,0,
2009-005,superstar,4 Stella,7,41726.0
2009-005,superstar,3 Stella,332,2064.0
2009-005,superstar,2 Stella,4622,100.0
2009-005,superstar,1 Stella,32108,10.0
2009-005,superstar,0 Stella,74170,5.0
2009-005,immediate,Vincite Immediate,0,0.0
2009-006,superenalotto,Punti 6,0,
2009-006,superenalotto,Punti 5+1,1,770203.0
2009-006,superenalotto,Punti 5,32,18051.64
2009-006,superenalotto,Punti 4,2388,241.89
2009-006,superenalotto,Punti 3,86897,13.29
2009-006,superstar,5 Stella,0,
2009-006,superstar,4 Stella,6,24189.0
2009-006,superstar,3 Stella,334,1329.0
